# E          M           C            S
-0.90600000  0.63325000  1.88305055  0.61587081
-0.90600000  0.63325000  1.88305055  0.61587081
-0.90600000  0.63325000  1.88305055  0.61587081
-0.90600000  0.63325000  1.88305055  0.61587081
-0.90600000  0.63325000  1.88305055  0.61587081
-0.90600000  0.63325000  1.88305055  0.61587081
-0.90600000  0.63325000  1.88305055  0.61587081
-0.90600000  0.63325000  1.88305055  0.61587081
-0.90600000  0.63325000  1.88305055  0.61587081
-0.90600000  0.63325000  1.88305055  0.61587081
-0.90600000  0.63325000  1.88305055  0.61587081
-0.90600000  0.63325000  1.88305055  0.61587081
-0.90600000  0.63325000  1.88305055  0.61587081
-0.90600000  0.63325000  1.88305055  0.61587081
-0.90600000  0.63325000  1.88305055  0.61587081
-0.90600000  0.63325000  1.88305055  0.61587081
-0.90600000  0.63325000  1.88305055  0.61587081
-0.90600000  0.63325000  1.88305055  0.61587081
-0.90600000  0.63325000  1.88305055  0.61587081
-0.90600000  0.63325000  1.88305055  0.61587081
-0.90600000  0.63325000  1.88305055  0.61587081
-0.90600000  0.63325000  1.88305055  0.61587081
-0.90600000  0.63325000  1.88305055  0.61587081
-0.90600000  0.63325000  1.88305055  0.61587081
-0.90600000  0.63325000  1.88305055  0.61587081
-0.90600000  0.63325000  1.88305055  0.61587081
-0.90600000  0.63325000  1.88305055  0.61587081
-0.90600000  0.63325000  1.88305055  0.61587081
-0.90600000  0.63325000  1.88305055  0.61587081
-0.90600000  0.63325000  1.88305055  0.61587081
-0.90600000  0.63325000  1.88305055  0.61587081
-0.90600000  0.63325000  1.88305055  0.61587081
-0.90600000  0.63325000  1.88305055  0.61587081
-0.90600000  0.63325000  1.88305055  0.61587081
-0.90600000  0.63325000  1.88305055  0.61587081
-0.90600000  0.63325000  1.88305055  0.61587081
-0.90600000  0.63325000  1.88305055  0.61587081
-0.90600000  0.63325000  1.88305055  0.61587081
-0.90600000  0.63325000  1.88305055  0.61587081
-0.90600000  0.63325000  1.88305055  0.61587081
-0.90600000  0.63325000  1.88305055  0.61587081
-0.90600000  0.63325000  1.88305055  0.61587081
-0.90600000  0.63325000  1.88305055  0.61587081
-0.90600000  0.63325000  1.88305055  0.61587081
-0.90600000  0.63325000  1.88305055  0.61587081
-0.90600000  0.63325000  1.88305055  0.61587081
-0.90600000  0.63325000  1.88305055  0.61587081
-0.90600000  0.63325000  1.88305055  0.61587081
-0.90600000  0.63325000  1.88305055  0.61587081
-0.90600000  0.63325000  1.88305055  0.61587081
-0.90600000  0.63325000  1.88305055  0.61587081
-0.90600000  0.63325000  1.88305055  0.61587081
-0.90600000  0.63325000  1.88305055  0.61587081
-0.90600000  0.63325000  1.88305055  0.61587081
-0.90600000  0.63325000  1.88305055  0.61587081
-0.90600000  0.63325000  1.88305055  0.61587081
-0.90600000  0.63325000  1.88305055  0.61587081
-0.90600000  0.63325000  1.88305055  0.61587081
-0.90600000  0.63325000  1.88305055  0.61587081
-0.90600000  0.63325000  1.88305055  0.61587081
-0.90600000  0.63325000  1.88305055  0.61587081
-0.90600000  0.63325000  1.88305055  0.61587081
-0.90600000  0.63325000  1.88305055  0.61587081
-0.90600000  0.63325000  1.88305055  0.61587081
-0.90600000  0.63325000  1.88305055  0.61587081
-0.90600000  0.63325000  1.88305055  0.61587081
-0.90600000  0.63325000  1.88305055  0.61587081
-0.90600000  0.63325000  1.88305055  0.61587081
-0.90600000  0.63325000  1.88305055  0.61587081
-0.90600000  0.63325000  1.88305055  0.61587081
-0.90600000  0.63325000  1.88305055  0.61587081
-0.90600000  0.63325000  1.88305055  0.61587081
-0.90600000  0.63325000  1.88305055  0.61587081
-0.90600000  0.63325000  1.88305055  0.61587081
-0.90600000  0.63325000  1.88305055  0.61587081
-0.90600000  0.63325000  1.88305055  0.61587081
-0.90600000  0.63325000  1.88305055  0.61587081
-0.90600000  0.63325000  1.88305055  0.61587081
-0.90600000  0.63325000  1.88305055  0.61587081
-0.90600000  0.63325000  1.88305055  0.61587081
-0.90600000  0.63325000  1.88305055  0.61587081
-0.90600000  0.63325000  1.88305055  0.61587081
-0.90600000  0.63325000  1.88305055  0.61587081
-0.90600000  0.63325000  1.88305055  0.61587081
-0.90600000  0.63325000  1.88305055  0.61587081
-0.90600000  0.63325000  1.88305055  0.61587081
-0.90600000  0.63325000  1.88305055  0.61587081
-0.90600000  0.63325000  1.88305055  0.61587081
-0.90600000  0.63325000  1.88305055  0.61587081
-0.90600000  0.63325000  1.88305055  0.61587081
-0.90600000  0.63325000  1.88305055  0.61587081
-0.90600000  0.63325000  1.88305055  0.61587081
-0.90600000  0.63325000  1.88305055  0.61587081
-0.90600000  0.63325000  1.88305055  0.61587081
-0.90600000  0.63325000  1.88305055  0.61587081
-0.90600000  0.63325000  1.88305055  0.61587081
-0.90600000  0.63325000  1.88305055  0.61587081
-0.90600000  0.63325000  1.88305055  0.61587081
-0.90600000  0.63325000  1.88305055  0.61587081
-0.90600000  0.63325000  1.88305055  0.61587081
